PATH,ACTUAL FLOW,Date,Time
TOTAL,-822,2021-03-20,16:59
﻿British Columbia,-576,2021-03-20,17:01
Montana,-237,2021-03-20,17:01
Saskatchewan,0,2021-03-20,17:01
TOTAL,-813,2021-03-20,17:01
﻿British Columbia,-583,2021-03-20,17:03
Montana,-239,2021-03-20,17:03
Saskatchewan,0,2021-03-20,17:03
TOTAL,-822,2021-03-20,17:03
﻿British Columbia,-587,2021-03-20,17:05
Montana,-247,2021-03-20,17:05
Saskatchewan,0,2021-03-20,17:05
TOTAL,-834,2021-03-20,17:05
﻿British Columbia,-585,2021-03-20,17:07
Montana,-247,2021-03-20,17:07
Saskatchewan,0,2021-03-20,17:07
TOTAL,-832,2021-03-20,17:07
﻿British Columbia,-617,2021-03-20,17:09
Montana,-243,2021-03-20,17:09
Saskatchewan,0,2021-03-20,17:09
TOTAL,-860,2021-03-20,17:09
﻿British Columbia,-580,2021-03-20,17:11
Montana,-245,2021-03-20,17:11
Saskatchewan,0,2021-03-20,17:11
TOTAL,-825,2021-03-20,17:11
﻿British Columbia,-579,2021-03-20,17:13
Montana,-238,2021-03-20,17:13
Saskatchewan,0,2021-03-20,17:13
TOTAL,-817,2021-03-20,17:13
﻿British Columbia,-576,2021-03-20,17:15
Montana,-231,2021-03-20,17:15
Saskatchewan,0,2021-03-20,17:15
TOTAL,-807,2021-03-20,17:15
﻿British Columbia,-558,2021-03-20,17:17
Montana,-240,2021-03-20,17:17
Saskatchewan,0,2021-03-20,17:17
TOTAL,-798,2021-03-20,17:17
﻿British Columbia,-559,2021-03-20,17:19
Montana,-231,2021-03-20,17:19
Saskatchewan,0,2021-03-20,17:19
TOTAL,-790,2021-03-20,17:19
﻿British Columbia,-506,2021-03-20,17:21
Montana,-223,2021-03-20,17:21
Saskatchewan,0,2021-03-20,17:21
TOTAL,-729,2021-03-20,17:21
﻿British Columbia,-516,2021-03-20,17:23
Montana,-226,2021-03-20,17:23
Saskatchewan,0,2021-03-20,17:23
TOTAL,-742,2021-03-20,17:23
﻿British Columbia,-540,2021-03-20,17:25
Montana,-230,2021-03-20,17:25
Saskatchewan,0,2021-03-20,17:25
TOTAL,-770,2021-03-20,17:25
﻿British Columbia,-567,2021-03-20,17:27
Montana,-248,2021-03-20,17:27
Saskatchewan,0,2021-03-20,17:27
TOTAL,-815,2021-03-20,17:27
﻿British Columbia,-567,2021-03-20,17:29
Montana,-240,2021-03-20,17:29
Saskatchewan,0,2021-03-20,17:29
TOTAL,-807,2021-03-20,17:29
﻿British Columbia,-551,2021-03-20,17:31
Montana,-237,2021-03-20,17:31
Saskatchewan,0,2021-03-20,17:31
TOTAL,-788,2021-03-20,17:31
﻿British Columbia,-535,2021-03-20,17:33
Montana,-233,2021-03-20,17:33
Saskatchewan,0,2021-03-20,17:33
TOTAL,-768,2021-03-20,17:33
﻿British Columbia,-522,2021-03-20,17:35
Montana,-225,2021-03-20,17:35
Saskatchewan,0,2021-03-20,17:35
TOTAL,-747,2021-03-20,17:35
﻿British Columbia,-527,2021-03-20,17:38
Montana,-227,2021-03-20,17:38
Saskatchewan,0,2021-03-20,17:38
TOTAL,-754,2021-03-20,17:38
﻿British Columbia,-527,2021-03-20,17:40
Montana,-221,2021-03-20,17:40
Saskatchewan,0,2021-03-20,17:40
TOTAL,-748,2021-03-20,17:40
﻿British Columbia,-485,2021-03-20,17:42
Montana,-212,2021-03-20,17:42
Saskatchewan,0,2021-03-20,17:42
TOTAL,-697,2021-03-20,17:42
﻿British Columbia,-532,2021-03-20,17:44
Montana,-227,2021-03-20,17:44
Saskatchewan,0,2021-03-20,17:44
TOTAL,-759,2021-03-20,17:44
﻿British Columbia,-523,2021-03-20,17:46
Montana,-224,2021-03-20,17:46
Saskatchewan,0,2021-03-20,17:46
TOTAL,-747,2021-03-20,17:46
﻿British Columbia,-513,2021-03-20,17:48
Montana,-220,2021-03-20,17:48
Saskatchewan,0,2021-03-20,17:48
TOTAL,-733,2021-03-20,17:48
﻿British Columbia,-543,2021-03-20,17:50
Montana,-227,2021-03-20,17:50
Saskatchewan,0,2021-03-20,17:50
TOTAL,-770,2021-03-20,17:50
﻿British Columbia,-546,2021-03-20,17:52
Montana,-222,2021-03-20,17:52
Saskatchewan,0,2021-03-20,17:52
TOTAL,-768,2021-03-20,17:52
﻿British Columbia,-524,2021-03-20,17:54
Montana,-218,2021-03-20,17:54
Saskatchewan,0,2021-03-20,17:54
TOTAL,-742,2021-03-20,17:54
﻿British Columbia,-538,2021-03-20,17:56
Montana,-209,2021-03-20,17:56
Saskatchewan,0,2021-03-20,17:56
TOTAL,-747,2021-03-20,17:56
﻿British Columbia,-551,2021-03-20,17:58
Montana,-227,2021-03-20,17:58
Saskatchewan,0,2021-03-20,17:58
TOTAL,-778,2021-03-20,17:58
﻿British Columbia,-578,2021-03-20,18:00
Montana,-217,2021-03-20,18:00
Saskatchewan,0,2021-03-20,18:00
TOTAL,-795,2021-03-20,18:00
﻿British Columbia,-552,2021-03-20,18:02
Montana,-215,2021-03-20,18:02
Saskatchewan,0,2021-03-20,18:02
TOTAL,-767,2021-03-20,18:02
﻿British Columbia,-553,2021-03-20,18:04
